period,stateid,stateDescription,sectorid,sectorName,price,price-units
2024-12,AZ,Arizona,ALL,all sectors,12.23,cents per kilowatt-hour
2024-11,AZ,Arizona,ALL,all sectors,12.12,cents per kilowatt-hour
2024-10,AZ,Arizona,ALL,all sectors,12.72,cents per kilowatt-hour
2024-09,AZ,Arizona,ALL,all sectors,12.97,cents per kilowatt-hour
2024-08,AZ,Arizona,ALL,all sectors,13.33,cents per kilowatt-hour
2024-07,AZ,Arizona,ALL,all sectors,13.48,cents per kilowatt-hour
2024-06,AZ,Arizona,ALL,all sectors,13.33,cents per kilowatt-hour
2024-05,AZ,Arizona,ALL,all sectors,13.05,cents per kilowatt-hour
2024-04,AZ,Arizona,ALL,all sectors,12.32,cents per kilowatt-hour
2024-03,AZ,Arizona,ALL,all sectors,11.95,cents per kilowatt-hour
2024-02,AZ,Arizona,ALL,all sectors,11.94,cents per kilowatt-hour
2024-01,AZ,Arizona,ALL,all sectors,11.85,cents per kilowatt-hour
2023-12,AZ,Arizona,ALL,all sectors,12,cents per kilowatt-hour
2023-11,AZ,Arizona,ALL,all sectors,11.99,cents per kilowatt-hour
2023-10,AZ,Arizona,ALL,all sectors,12.25,cents per kilowatt-hour
2023-09,AZ,Arizona,ALL,all sectors,12.62,cents per kilowatt-hour
2023-08,AZ,Arizona,ALL,all sectors,12.72,cents per kilowatt-hour
2023-07,AZ,Arizona,ALL,all sectors,13.01,cents per kilowatt-hour
2023-06,AZ,Arizona,ALL,all sectors,12.52,cents per kilowatt-hour
2023-05,AZ,Arizona,ALL,all sectors,12.39,cents per kilowatt-hour
2023-04,AZ,Arizona,ALL,all sectors,11.78,cents per kilowatt-hour
2023-03,AZ,Arizona,ALL,all sectors,11.24,cents per kilowatt-hour
2023-02,AZ,Arizona,ALL,all sectors,11.16,cents per kilowatt-hour
2023-01,AZ,Arizona,ALL,all sectors,11.11,cents per kilowatt-hour
2022-12,AZ,Arizona,ALL,all sectors,11.03,cents per kilowatt-hour
2022-11,AZ,Arizona,ALL,all sectors,10.8,cents per kilowatt-hour
2022-10,AZ,Arizona,ALL,all sectors,11.18,cents per kilowatt-hour
2022-09,AZ,Arizona,ALL,all sectors,11.78,cents per kilowatt-hour
2022-08,AZ,Arizona,ALL,all sectors,12.03,cents per kilowatt-hour
2022-07,AZ,Arizona,ALL,all sectors,12,cents per kilowatt-hour
2022-06,AZ,Arizona,ALL,all sectors,11.82,cents per kilowatt-hour
2022-05,AZ,Arizona,ALL,all sectors,11.43,cents per kilowatt-hour
2022-04,AZ,Arizona,ALL,all sectors,10.92,cents per kilowatt-hour
2022-03,AZ,Arizona,ALL,all sectors,10.26,cents per kilowatt-hour
2022-02,AZ,Arizona,ALL,all sectors,10.68,cents per kilowatt-hour
2022-01,AZ,Arizona,ALL,all sectors,10.37,cents per kilowatt-hour
2021-12,AZ,Arizona,ALL,all sectors,10.38,cents per kilowatt-hour
2021-11,AZ,Arizona,ALL,all sectors,10.05,cents per kilowatt-hour
2021-10,AZ,Arizona,ALL,all sectors,10.63,cents per kilowatt-hour
2021-09,AZ,Arizona,ALL,all sectors,11.2,cents per kilowatt-hour
2021-08,AZ,Arizona,ALL,all sectors,11.22,cents per kilowatt-hour
2021-07,AZ,Arizona,ALL,all sectors,11.51,cents per kilowatt-hour
2021-06,AZ,Arizona,ALL,all sectors,11.25,cents per kilowatt-hour
2021-05,AZ,Arizona,ALL,all sectors,11.17,cents per kilowatt-hour
2021-04,AZ,Arizona,ALL,all sectors,10.24,cents per kilowatt-hour
2021-03,AZ,Arizona,ALL,all sectors,9.84,cents per kilowatt-hour
2021-02,AZ,Arizona,ALL,all sectors,10.07,cents per kilowatt-hour
2021-01,AZ,Arizona,ALL,all sectors,9.68,cents per kilowatt-hour
2020-12,AZ,Arizona,ALL,all sectors,9.82,cents per kilowatt-hour
2020-11,AZ,Arizona,ALL,all sectors,9.44,cents per kilowatt-hour
2020-10,AZ,Arizona,ALL,all sectors,10.17,cents per kilowatt-hour
2020-09,AZ,Arizona,ALL,all sectors,10.82,cents per kilowatt-hour
2020-08,AZ,Arizona,ALL,all sectors,11.14,cents per kilowatt-hour
2020-07,AZ,Arizona,ALL,all sectors,11.36,cents per kilowatt-hour
2020-06,AZ,Arizona,ALL,all sectors,11.08,cents per kilowatt-hour
2020-05,AZ,Arizona,ALL,all sectors,11.05,cents per kilowatt-hour
2020-04,AZ,Arizona,ALL,all sectors,10.13,cents per kilowatt-hour
2020-03,AZ,Arizona,ALL,all sectors,9.49,cents per kilowatt-hour
2020-02,AZ,Arizona,ALL,all sectors,9.45,cents per kilowatt-hour
2020-01,AZ,Arizona,ALL,all sectors,9.42,cents per kilowatt-hour
2019-12,AZ,Arizona,ALL,all sectors,9.67,cents per kilowatt-hour
2019-11,AZ,Arizona,ALL,all sectors,9.62,cents per kilowatt-hour
2019-10,AZ,Arizona,ALL,all sectors,10.41,cents per kilowatt-hour
2019-09,AZ,Arizona,ALL,all sectors,10.68,cents per kilowatt-hour
2019-08,AZ,Arizona,ALL,all sectors,11.08,cents per kilowatt-hour
2019-07,AZ,Arizona,ALL,all sectors,11.34,cents per kilowatt-hour
2019-06,AZ,Arizona,ALL,all sectors,11.03,cents per kilowatt-hour
2019-05,AZ,Arizona,ALL,all sectors,10.85,cents per kilowatt-hour
2019-04,AZ,Arizona,ALL,all sectors,10.33,cents per kilowatt-hour
2019-03,AZ,Arizona,ALL,all sectors,9.9,cents per kilowatt-hour
2019-02,AZ,Arizona,ALL,all sectors,10.08,cents per kilowatt-hour
2019-01,AZ,Arizona,ALL,all sectors,9.98,cents per kilowatt-hour
