period,electricity_price,month,year,quarter,season,gas_price
2024-12-01,12.23,12,2024,4,Winter,3.01
2024-11-01,12.12,11,2024,4,Fall,2.12
2024-10-01,12.72,10,2024,4,Fall,2.2
2024-09-01,12.97,9,2024,3,Fall,2.28
2024-08-01,13.33,8,2024,3,Summer,1.99
2024-07-01,13.48,7,2024,3,Summer,2.07
2024-06-01,13.33,6,2024,2,Summer,2.54
2024-05-01,13.05,5,2024,2,Spring,2.12
2024-04-01,12.32,4,2024,2,Spring,1.6
2024-03-01,11.95,3,2024,1,Spring,1.49
2024-02-01,11.94,2,2024,1,Winter,1.72
2024-01-01,11.85,1,2024,1,Winter,3.18
2023-12-01,12.0,12,2023,4,Winter,2.52
2023-11-01,11.99,11,2023,4,Fall,2.71
2023-10-01,12.25,10,2023,4,Fall,2.98
2023-09-01,12.62,9,2023,3,Fall,2.64
2023-08-01,12.72,8,2023,3,Summer,2.58
2023-07-01,13.01,7,2023,3,Summer,2.55
2023-06-01,12.52,6,2023,2,Summer,2.18
2023-05-01,12.39,5,2023,2,Spring,2.15
2023-04-01,11.78,4,2023,2,Spring,2.16
2023-03-01,11.24,3,2023,1,Spring,2.31
2023-02-01,11.16,2,2023,1,Winter,2.38
2023-01-01,11.11,1,2023,1,Winter,3.27
2022-12-01,11.03,12,2022,4,Winter,5.53
2022-11-01,10.8,11,2022,4,Fall,5.45
2022-10-01,11.18,10,2022,4,Fall,5.66
2022-09-01,11.78,9,2022,3,Fall,7.88
2022-08-01,12.03,8,2022,3,Summer,8.81
2022-07-01,12.0,7,2022,3,Summer,7.28
2022-06-01,11.82,6,2022,2,Summer,7.7
2022-05-01,11.43,5,2022,2,Spring,8.14
2022-04-01,10.92,4,2022,2,Spring,6.6
2022-03-01,10.26,3,2022,1,Spring,4.9
2022-02-01,10.68,2,2022,1,Winter,4.69
2022-01-01,10.37,1,2022,1,Winter,4.38
2021-12-01,10.38,12,2021,4,Winter,3.76
2021-11-01,10.05,11,2021,4,Fall,5.05
2021-10-01,10.63,10,2021,4,Fall,5.51
2021-09-01,11.2,9,2021,3,Fall,5.16
2021-08-01,11.22,8,2021,3,Summer,4.07
2021-07-01,11.51,7,2021,3,Summer,3.84
2021-06-01,11.25,6,2021,2,Summer,3.26
2021-05-01,11.17,5,2021,2,Spring,2.91
2021-04-01,10.24,4,2021,2,Spring,2.66
2021-03-01,9.84,3,2021,1,Spring,2.62
2021-02-01,10.07,2,2021,1,Winter,5.35
2021-01-01,9.68,1,2021,1,Winter,2.71
2020-12-01,9.82,12,2020,4,Winter,2.58
2020-11-01,9.44,11,2020,4,Fall,2.61
2020-10-01,10.17,10,2020,4,Fall,2.39
2020-09-01,10.82,9,2020,3,Fall,1.92
2020-08-01,11.14,8,2020,3,Summer,2.3
2020-07-01,11.36,7,2020,3,Summer,1.76
2020-06-01,11.08,6,2020,2,Summer,1.63
2020-05-01,11.05,5,2020,2,Spring,1.75
2020-04-01,10.13,4,2020,2,Spring,1.74
2020-03-01,9.49,3,2020,1,Spring,1.79
2020-02-01,9.45,2,2020,1,Winter,1.91
2020-01-01,9.42,1,2020,1,Winter,2.02
2019-12-01,9.67,12,2019,4,Winter,2.22
2019-11-01,9.62,11,2019,4,Fall,2.65
2019-10-01,10.41,10,2019,4,Fall,2.33
2019-09-01,10.68,9,2019,3,Fall,2.56
2019-08-01,11.08,8,2019,3,Summer,2.22
2019-07-01,11.34,7,2019,3,Summer,2.37
2019-06-01,11.03,6,2019,2,Summer,2.4
2019-05-01,10.85,5,2019,2,Spring,2.64
2019-04-01,10.33,4,2019,2,Spring,2.65
2019-03-01,9.9,3,2019,1,Spring,2.95
2019-02-01,10.08,2,2019,1,Winter,2.69
2019-01-01,9.98,1,2019,1,Winter,3.11
